Titre	Artiste	Quebec		Année	Style
Hard to Handle	The Black Crowes			1990	Rock
Limelight	Rush			1981	Prog
Die, All Right!	The Hives			2000	Punk
Interstate Love Song	Stone Temple Pilots			1994	Rock
The Number of the Beast	Iron Maiden			1982	Metal
Action	Sweet			1976	Glam
Last Train to Clarksville	The Monkees			1966	Pop-Rock
All the Small Things	Blink-182			1999	Punk
Don't Look Back in Anger	Oasis			1995	Rock
Live Forever	Oasis			1994	Rock
Wonderwall	Oasis			1995	Rock
Siva	Smashing Pumpkins			1991	Alternative
Working Man	Rush			1974	Prog
Ten Speed (Of God's Blood and Burial)	Coheed and Cambria			2005	Prog
Roam	The B-52's			1989	Pop-Rock
We Care a Lot	Faith No More			1987	Rock
Calling Dr. Love	Kiss			1976	Classic Rock
Complete Control	The Clash			1977	Punk
Truth Hits Everybody	The Police			1978	Rock
Teenage Lobotomy	Ramones			1977	Punk
Sex Type Thing	Stone Temple Pilots			1992	Alternative
El Scorcho	Weezer			1996	Alternative
Why Do You Love Me	Garbage			2005	Pop-Rock
March of the Pigs	Nine Inch Nails			1994	Rock
The Collector	Nine Inch Nails			2005	Rock
The Perfect Drug	Nine Inch Nails			1997	Rock
China Cat Sunflower	Grateful Dead			1969	Classic Rock
Casey Jones	Grateful Dead			1970	Classic Rock
Sugar Magnolia	Grateful Dead			1970	Classic Rock
Truckin'	Grateful Dead			1970	Classic Rock
Franklin's Tower	Grateful Dead			1975	Classic Rock
I Need a Miracle	Grateful Dead			1978	Classic Rock
Crushcrushcrush	Paramore			2007	Pop-Rock
Beethoven's C***	Serj Tankian			2007	Rock
Shockwave	Black Tide			2008	Metal
Blinded by Fear	At the Gates			1995	Metal
D.O.A.	The Haunted			2003	Metal
Thrasher	Evile			2007	Metal
Peace of Mind	Boston			1976	Classic Rock
More Than a Feeling	Boston			1976	Classic Rock
Smokin'	Boston			1976	Classic Rock
Rock and Roll Band	Boston			1976	Classic Rock
Something About You	Boston			1976	Classic Rock
Hitch a Ride	Boston			1976	Classic Rock
Still Alive	GLaDOS			2007	Pop-Rock
Rock Rebellion	Bang Camaro			2007	Rock
Simple Man	Lynyrd Skynyrd			1973	Southern Rock
Message in a Bottle	The Police			1979	Rock
Call Me	Blondie			1981	Pop-Rock
Saints of Los Angeles	Mötley Crüe			2008	Rock
The Hellion/Electric Eye	Judas Priest			1982	Metal
Riding on the Wind	Judas Priest			1982	Metal
Bloodstone	Judas Priest			1982	Metal
(Take These) Chains	Judas Priest			1982	Metal
Pain and Pleasure	Judas Priest			1982	Metal
Screaming for Vengeance	Judas Priest			1982	Metal
You've Got Another Thing Comin'	Judas Priest			1982	Metal
Fever	Judas Priest			1982	Metal
Devil's Child	Judas Priest			1982	Metal
Red Tandy	The Mother Hips			2005	Rock
Time-Sick Son of a Grizzly Bear	The Mother Hips			2007	Rock
Zero	Smashing Pumpkins			1995	Alternative
This Ain't a Scene, It's an Arms Race	Fall Out Boy			2007	Pop-Rock
Date with the Night	Yeah Yeah Yeahs			2003	Rock
It Hurts	Angels & Airwaves			2006	Alternative
Hanging on the Telephone	Blondie			1978	Pop-Rock
Train in Vain (Stand by Me)	The Clash			1979	Punk
Kool Thing	Sonic Youth			1990	Alternative
Beetlebum	Blur			1997	Alternative
Countdown to Insanity	H-Blockx			2007	Rock
Hier Kommt Alex	Die Toten Hosen			1988	Punk
Hysteria	Muse			2003	Alternative
Manu Chao 	Les Wampas			2003	Punk
Monsoon	Tokio Hotel			2005	Glam
New Wave	Pleymo			2002	Metal
Perfekte Welle	Juli			2000s	Rock
Rock 'n' Roll Star	Oasis			1994	Rock
Good Times Roll	The Cars			1978	Rock
My Best Friend's Girl	The Cars			1978	Rock
Just What I Needed	The Cars			1978	Rock
I'm in Touch with Your World	The Cars			1978	Rock
Don't Cha Stop	The Cars			1978	Rock
You're All I've Got Tonight	The Cars			1978	Rock
Bye Bye Love	The Cars			1978	Rock
Moving in Stereo	The Cars			1978	Rock
All Mixed Up	The Cars			1978	Rock
Indestructible	Disturbed			2008	Nu-Metal
Inside the Fire	Disturbed			2008	Nu-Metal
Perfect Insanity	Disturbed			2008	Nu-Metal
Cheeseburger in Paradise	Jimmy Buffett			1978	Rock
Margaritaville	Jimmy Buffett			1977	Rock
Volcano	Jimmy Buffett			1979	Rock
Moving to Seattle	The Material			2007	Alternative
A Clean Shot	The Myriad			2008	Alternative
Bullets & Guns	Them Terribles			2007	Alternative
Girls Who Play Guitars	Maxïmo Park			2007	Pop-Rock
Critical Acclaim	Avenged Sevenfold			2007	Metal
Afterlife	Avenged Sevenfold			2007	Metal
Hammerhead	The Offspring			2008	Rock
Rock n' Roll Dream	Crooked X			2008	Rock
Debaser	Pixies			1989	Alternative
Tame	Pixies			1989	Alternative
I Bleed	Pixies			1989	Alternative
Here Comes Your Man	Pixies			1989	Alternative
Dead	Pixies			1989	Alternative
Monkey Gone to Heaven	Pixies			1989	Alternative
Mr. Grieves	Pixies			1989	Alternative
Crackity Jones	Pixies			1989	Alternative
La La Love You	Pixies			1989	Alternative
No. 13 Baby	Pixies			1989	Alternative
There Goes My Gun	Pixies			1989	Alternative
Hey	Pixies			1989	Alternative
Silver	Pixies			1989	Alternative
Gouge Away	Pixies			1989	Alternative
Dreamin'	Weezer			2008	Alternative
The Greatest Man That Ever Lived	Weezer			2008	Alternative
Troublemaker	Weezer			2008	Alternative
Down at the Whisky	Mötley Crüe			2008	Metal
Time Is Running Out	Papa Roach			2006	Alternative
Who's Going Home with You Tonight?	Trapt			2008	Nu-Metal
Promised Land	Vesuvius			2008	Rock
Snow ((Hey Oh))	Red Hot Chili Peppers			2006	Rock
Tell Me Baby	Red Hot Chili Peppers			2006	Rock
Closer to the Heart	Rush			1977	Prog
Working Man (Vault Edition)	Rush			1974	Prog
Amazing Journey	The Who			1969	Classic Rock
Baba O'Riley	The Who			1971	Classic Rock
Behind Blue Eyes	The Who			1971	Classic Rock
Eminence Front	The Who			1982	Classic Rock
Going Mobile	The Who			1971	Classic Rock
Leaving Here	The Who			1965	Classic Rock
My Generation (Live at Leeds)	The Who			1970	Classic Rock
Real Good Looking Boy	The Who			2004	Classic Rock
Sea and Sand	The Who			1973	Classic Rock
Summertime Blues (Live at Leeds)	The Who			1970	Classic Rock
Who Are You	The Who			1978	Classic Rock
Young Man Blues (Live at Leeds)	The Who			1970	Classic Rock
Burn	Nine Inch Nails			1994	Rock
Capital G	Nine Inch Nails			2007	Rock
Last	Nine Inch Nails			1992	Rock
Devour	Shinedown			2008	Nu-Metal
Junkies for Fame	Shinedown			2008	Nu-Metal
They Say	Scars on Broadway			2008	Rock
This Is It	Staind			2008	Nu-Metal
Electric Crown	Testament			1992	Metal
Yomp	Thenewno2			2008	Pop-Rock
Toxicity 	System of a Down			2002	Metal
B.Y.O.B. 	System of a Down			2005	Alternative
Face Down in the Dirt	Mötley Crüe			2008	Rock
Rescue Me	Buckcherry			2008	Rock
Life Is Beautiful	Sixx:A.M.			2007	Rock
Aesthetics of Hate	Machine Head			2007	Metal
Clouds Over California	DevilDriver			2007	Metal
Constant Motion	Dream Theater			2007	Metal
My Curse	Killswitch Engage			2006	Metal
Sleepwalker	Megadeth			2007	Metal
Runnin' Wild	Airbourne			2007	Rock
Girl U Want (Rock Band Re-Record)	Devo			1980	New Wave
Through Being Cool (Rock Band Re-Record)	Devo			1981	New Wave
Rio	Duran Duran			1982	Pop-Rock
Girls on Film	Duran Duran			1981	Pop-Rock
Get Your Rock On	The Janitors			2008	Pop-Rock
All Over Again 	Locksley			2007	Pop-Rock
She Does 	Locksley			2007	Pop-Rock
Don't Make Me Wait 	Locksley			2007	Pop-Rock
Skullcrusher Mountain	Jonathan Coulton			2004	Pop-Rock
Livin' at the Corner of Dude & Catastrophe	MC Frontalot feat. Brad Sucks			2007	Other
Shhh...	The Darkest of the Hillside Thickets			2008	Rock
This Calling	All That Remains			2006	Metal
Chiron	All That Remains			2008	Metal
Two Weeks	All That Remains			2008	Metal
Charlene (I'm Right Behind You)	Stephen and the Colberts			1986	Pop-Rock
One of THOSE Nights	The Cab			2008	Pop-Rock
Hands Down	Dashboard Confessional			2003	Pop-Rock
She's a Handsome Woman	Panic at the Disco			2008	Pop-Rock
Natural Disaster	Plain White T's			2008	Pop-Rock
Wake Up Dead	Megadeth			1986	Metal
The Conjuring	Megadeth			1986	Metal
Devil's Island	Megadeth			1986	Metal
Good Mourning/Black Friday	Megadeth			1986	Metal
Bad Omen	Megadeth			1986	Metal
I Ain't Superstitious	Megadeth			1986	Metal
My Last Words	Megadeth			1986	Metal
Tom Sawyer (Original Version)	Rush			1981	Prog
Red Barchetta	Rush			1981	Prog
YYZ	Rush			1981	Prog
Limelight (Original Version)	Rush			1981	Prog
The Camera Eye	Rush			1981	Prog
Witch Hunt (Part III of Fear)	Rush			1981	Prog
Vital Signs	Rush			1981	Prog
Sorrow	Bad Religion			2002	Punk
She Sells Sanctuary	The Cult			1985	Rock
Bandages	Hot Hot Heat			2002	Alternative
Shoot the Runner	Kasabian			2006	Alternative
You're No Rock N Roll Fun	Sleater-Kinney			2000	Alternative
Love Spreads	The Stone Roses			1994	Alternative
The Power of Equality 	Red Hot Chili Peppers			1991	Alternative
If You Have to Ask 	Red Hot Chili Peppers			1991	Alternative
Breaking the Girl 	Red Hot Chili Peppers			1991	Alternative
Funky Monks 	Red Hot Chili Peppers			1991	Alternative
Suck My Kiss 	Red Hot Chili Peppers			1991	Alternative
I Could Have Lied 	Red Hot Chili Peppers			1991	Alternative
Mellowship Slinky in B Major 	Red Hot Chili Peppers			1991	Alternative
The Righteous and the Wicked 	Red Hot Chili Peppers			1991	Alternative
Blood Sugar Sex Magik 	Red Hot Chili Peppers			1991	Alternative
Under the Bridge 	Red Hot Chili Peppers			1991	Alternative
Naked in the Rain 	Red Hot Chili Peppers			1991	Alternative
Apache Rose Peacock 	Red Hot Chili Peppers			1991	Alternative
The Greeting Song 	Red Hot Chili Peppers			1991	Alternative
My Lovely Man 	Red Hot Chili Peppers			1991	Alternative
Sir Psycho Sexy 	Red Hot Chili Peppers			1991	Alternative
They're Red Hot 	Red Hot Chili Peppers			1991	Alternative
All Right Now	Free			1970	Classic Rock
Stop!	Against Me!			2007	Punk
Bad to the Bone	George Thorogood & the Destroyers			1982	Rock
Cream and Bastards Rise	Harvey Danger			2005	Alternative
Nearly Lost You	Screaming Trees			1992	Grunge
Push It	Static-X			1999	Metal
Gone Away	The Offspring			1997	Rock
Pretty Fly (For a White Guy)	The Offspring			1998	Rock
Self Esteem	The Offspring			1994	Rock
Dr. Feelgood	Mötley Crüe			1989	Metal
Slice of Your Pie	Mötley Crüe			1989	Metal
Rattlesnake Shake	Mötley Crüe			1989	Metal
Kickstart My Heart	Mötley Crüe			1989	Metal
Without You	Mötley Crüe			1989	Metal
Same Ol' Situation (S.O.S.)	Mötley Crüe			1989	Metal
Sticky Sweet	Mötley Crüe			1989	Metal
She Goes Down	Mötley Crüe			1989	Metal
Don't Go Away Mad (Just Go Away)	Mötley Crüe			1989	Metal
Time for Change	Mötley Crüe			1989	Metal
Breed	Nirvana			1991	Grunge
Lounge Act	Nirvana			1991	Grunge
On a Plain	Nirvana			1991	Grunge
Polly	Nirvana			1991	Grunge
Something in the Way	Nirvana			1991	Grunge
Stay Away	Nirvana			1991	Grunge
Territorial Pissings	Nirvana			1991	Grunge
Hong Kong Garden	Siouxsie and The Banshees			1981	Pop-Rock
Kiss Them for Me	Siouxsie and The Banshees			1991	Pop-Rock
The Killing Jar	Siouxsie and The Banshees			1988	Pop-Rock
Dammit	Blink-182			1997	Punk
Well Thought Out Twinkles	Silversun Pickups			2006	Indie Rock
Melatonin	Silversun Pickups			2006	Indie Rock
Pretty in Pink	The Psychedelic Furs			1981	Rock
Dune Buggy	The Presidents of the United States of America			1995	Pop-Rock
Feather Pluck'n	The Presidents of the United States of America			1995	Pop-Rock
Ladybug	The Presidents of the United States of America			2008	Pop-Rock
Use Me	Hinder			2008	Rock
I Don't Care	Fall Out Boy			2008	Pop-Rock
Ashes to Fire	Ghost Hounds			2008	Rock
Bounce	The Cab			2008	Pop-Rock
Burn You Down	Opiate for the Masses			2008	Rock
Crazy Tuesday	Thenewno2			2008	Pop-Rock
Database Corrupted	Dealership			2004	Indie Rock
Desperate Times, Desperate Measures	Underoath			2008	Metal
Get It On	The Chevelles			2008	Rock
Give It to Me	Cocktail Slippers			2006	Indie Rock
I Wanna Be Your Man	Endeverafter			2007	Rock
I'm Gone, I'm Going	Lesley Roy			2008	Pop-Rock
I.V.	X Japan			2008	Metal
If I Ain't Got You	The Len Price 3			2007	Rock
Like a Fool	Shaimus			2008	Indie Rock
Magnetic Baby	Semi Precious Weapons			2008	Glam
No Regrets	Authority Zero			2007	Punk
Prequel to the Sequel	Between the Buried and Me			2007	Prog
Sons and Daughters	The 88			2008	Pop-Rock
The Feeling	Kutless			2008	Rock
The Time Is Wrong	Tickle Me Pink			2008	Emo
Young	Hollywood Undead			2008	Nu-Metal
Doll	Foo Fighters			1997	Alternative
Monkey Wrench	Foo Fighters			1997	Alternative
Hey, Johnny Park!	Foo Fighters			1997	Alternative
My Poor Brain	Foo Fighters			1997	Alternative
Wind Up	Foo Fighters			1997	Alternative
Up in Arms	Foo Fighters			1997	Alternative
My Hero	Foo Fighters			1997	Alternative
See You	Foo Fighters			1997	Alternative
Enough Space	Foo Fighters			1997	Alternative
February Stars	Foo Fighters			1997	Alternative
Walking After You	Foo Fighters			1997	Alternative
New Way Home	Foo Fighters			1997	Alternative
California Über Alles	Dead Kennedys			1987	Punk
Holiday in Cambodia	Dead Kennedys			1987	Punk
Police Truck	Dead Kennedys			1987	Punk
Mica	Mission of Burma			1982	Punk
That's How I Escaped My Certain Fate	Mission of Burma			1982	Punk
That's When I Reach for My Revolver	Mission of Burma			1981	Punk
Forever	In This Moment			2008	Metal
Closer	Lacuna Coil			2006	Metal
Swamped	Lacuna Coil			2002	Metal
Gone	Crooked X			2008	Metal
Mr. Brightside	The Killers			2004	Alternative
Spaceman	The Killers			2008	Alternative
Smile Like You Mean It	The Killers			2004	Alternative
Caprici Di Diablo	Yngwie Malmsteen's Rising Force			2008	Metal
Damnation Game	Yngwie Malmsteen's Rising Force			2008	Metal
Red Devil	Yngwie Malmsteen's Rising Force			2008	Metal
Jesus Christ Pose	Soundgarden			1991	Grunge
Pretty Noose	Soundgarden			1996	Grunge
Laid to Rest	Lamb of God			2004	Metal
Are You Dead Yet?	Children of Bodom			2005	Metal
Tutto è possibile	Finley			2006	Punk
Hay Poco Rock N Roll	Platero y Tú			1994	Rock
Tempted	Squeeze			1981	Rock
Ready, Set, Go!	Tokio Hotel			2007	Pop-Rock
Real World	All-American Rejects			2008	Emo
Headphones On	Miranda Cosgrove			2008	Pop-Rock
Body I Occupy	The Naked Brothers Band			2008	Pop-Rock
I Don't Want to Go to School	The Naked Brothers Band			2008	Pop-Rock
Just a Girl	No Doubt			1995	Pop-Rock
It's My Life	No Doubt			2003	Pop-Rock
Hey Baby	No Doubt			2003	Pop-Rock
Bathwater	No Doubt			2003	Pop-Rock
Sunday Morning	No Doubt			1995	Pop-Rock
Hella Good	No Doubt			2003	Pop-Rock
Underneath It All	No Doubt			2003	Pop-Rock
Excuse Me Mr.	No Doubt			1995	Pop-Rock
Running	No Doubt			2003	Pop-Rock
Spiderwebs	No Doubt			1995	Pop-Rock
Simple Kind of Life	No Doubt			2003	Pop-Rock
Don't Speak	No Doubt			1995	Pop-Rock
Ex-Girlfriend	No Doubt			2003	Pop-Rock
Mud on the Tires	Brad Paisley			2003	Country
Hillbilly Deluxe	Brooks & Dunn			2005	Country
Free and Easy (Down the Road I Go)	Dierks Bentley			2006	Country
Sin Wagon	Dixie Chicks			1999	Country
Gunpowder & Lead	Miranda Lambert			2007	Country
Hanukkah Blessings	Barenaked Ladies			2004	Rock
Christmas Is the Time to Say I Love You	Billy Squier			1994	Classic Rock
Blue Christmas	The Pretenders			2008	Rock
This Is a Call	Foo Fighters			1995	Alternative
Times Like These	Foo Fighters			2002	Alternative
DOA	Foo Fighters			2005	Alternative
Space Truckin'	Deep Purple			1972	Classic Rock
Funk #49	James Gang			1970	Classic Rock
Hymn 43	Jethro Tull			1971	Prog
Take Back the City	Snow Patrol			2008	Alternative
Fortunate Son	Creedence Clearwater Revival			1960s	Southern Rock
Juke Box Hero	Foreigner			1980s	Classic Rock
Bang a Gong	T. Rex			1970s	Glam
My Sharona	The Knack			1970s	Pop-Rock
Cherry Bomb	The Runaways			1970s	Punk
Joker & the Thief	Wolfmother			2000s	Rock
Ride the Lightning	Metallica			1980s	Metal
Blackened	Metallica			1980s	Metal
...And Justice for All	Metallica			1980s	Metal
3's & 7's	Queens of the Stone Age			2000s	Alternative
Little Sister	Queens of the Stone Age			2000s	Alternative
Sick, Sick, Sick	Queens of the Stone Age			2000s	Alternative
Can't Stand Losing You	The Police			1970s	Pop-Rock
Synchronicity II	The Police			1980s	Pop-Rock
Roxanne	The Police			1970s	Pop-Rock
Heroes	David Bowie			1970s	Glam
Moonage Daydream	David Bowie			1970s	Glam
Queen Bitch	David Bowie			1970s	Glam
N.I.B.	Black Sabbath			1970s	Metal
Sweet Leaf	Black Sabbath			1970s	Metal
War Pigs	Black Sabbath			1970s	Metal
Ever Fallen in Love	Buzzcocks			1970s	Punk
I Fought the Law	The Clash			1970s	Punk
Rockaway Beach	Ramones			1970s	Punk
My Iron Lung	Radiohead			1990s	Alternative
Brass in Pocket	The Pretenders			1980s	Pop-Rock
Buddy Holly	Weezer			1990s	Alternative
Attack	30 Seconds to Mars			2000s	Rock
The Kill	30 Seconds to Mars			2000s	Rock
Dirty Little Secret	All-American Rejects			2000s	Rock
Move Along	All-American Rejects			2000s	Rock
Song with a Mission	The Sounds			2000s	Alternative
Claudette	Roy Orbison			1980s	Pop-Rock
In Dreams	Roy Orbison			1980s	Pop-Rock
Mean Woman Blues	Roy Orbison			1980s	Pop-Rock
Oh, Pretty Woman	Roy Orbison			1980s	Pop-Rock
Ooby Dooby	Roy Orbison			1980s	Pop-Rock
You Got It	Roy Orbison			1980s	Pop-Rock
Are You Gonna Go My Way	Lenny Kravitz			1990s	Rock
Freedom Train	Lenny Kravitz			1980s	Rock
Let Love Rule	Lenny Kravitz			1980s	Rock
Mr. Cab Driver	Lenny Kravitz			1980s	Rock
Megasus	Megasus			2000s	Metal
Entangled	Honest Bob and the Factory-to-Dealer Incentives			2000s	Indie Rock
Space Cowboy	Steve Miller Band			1960s	Classic Rock
Take the Money and Run	Steve Miller Band			1970s	Classic Rock
The Joker	Steve Miller Band			1970s	Classic Rock
I Stand Alone	Godsmack			2000s	Nu-Metal
Feed the Tree	Belly			1990s	Alternative
Wind Me Up	Ghost Hounds			2000s	Rock
Typical	Mute Math			2000s	Alternative
War Zone	Rob Zombie			2000s	Nu-Metal
Cold Rain and Snow	Grateful Dead			1960s	Classic Rock
Doin' That Rag	Grateful Dead			1960s	Classic Rock
Don't Ease Me In	Grateful Dead			1980s	Classic Rock
Fire on the Mountain	Grateful Dead			1970s	Classic Rock
Hell in a Bucket	Grateful Dead			1980s	Classic Rock
Uncle John's Band	Grateful Dead			1970s	Classic Rock
The Boys Are Back in Town (Live)	Thin Lizzy			2000s	Classic Rock
Cowboy Song (Live)	Thin Lizzy			2000s	Classic Rock
Jailbreak (Live)	Thin Lizzy			2000s	Classic Rock
Precious	The Pretenders			1980s	Punk
Hit Me With Your Best Shot	Pat Benatar			1980s	Classic Rock
Break My Heart	Nikko			2000s	Pop-Rock
Don't Tell Me	Nikko			2000s	Pop-Rock
Creepin' Up the Backstairs	The Fratellis			2000s	Alternative
Flathead	The Fratellis			2000s	Alternative
Henrietta	The Fratellis			2000s	Alternative
More Human than Human	White Zombie			1990s	Metal
Black Sunshine	White Zombie			1990s	Metal
Wasted Again	Turbonegro			2000s	Punk
3 Dimes Down	Drive-By Truckers			2000s	Country
Can't Let Go	Lucinda Williams			1990s	Country
People Got a Lotta Nerve	Neko Case			2000s	Country
Time Bomb (Live)	Old 97s			2000s	Country
Satellite Radio	Steve Earle			2000s	Country
Futures	Jimmy Eat World			2000s	Pop-Rock
Lucky Denver Mint	Jimmy Eat World			1990s	Pop-Rock
Sweetness	Jimmy Eat World			2000s	Pop-Rock
New	No Doubt			2000s	Pop-Rock
Love Struck Baby	Stevie Ray Vaughan and Double Trouble			1980s	Blues
Pride and Joy	Stevie Ray Vaughan and Double Trouble			1980s	Blues
Texas Flood	Stevie Ray Vaughan and Double Trouble			1980s	Blues
Tell Me	Stevie Ray Vaughan and Double Trouble			1980s	Blues
Testify	Stevie Ray Vaughan and Double Trouble			1980s	Blues
Rude Mood	Stevie Ray Vaughan and Double Trouble			1980s	Blues
Mary Had a Little Lamb	Stevie Ray Vaughan and Double Trouble			1980s	Blues
Dirty Pool	Stevie Ray Vaughan and Double Trouble			1980s	Blues
I'm Cryin'	Stevie Ray Vaughan and Double Trouble			1980s	Blues
Lenny	Stevie Ray Vaughan and Double Trouble			1980s	Blues
All I Want	The Offspring			1990s	Punk
The Kids Aren't Alright	The Offspring			1990s	Punk
Losing My Religion	R.E.M.			1990s	Alternative
The Way That It Shows	Richard Thompson			1990s	Rock
Pick Up the Pieces	Average White Band			1970s	R&B/Soul/Funk
Shining Star	Earth, Wind & Fire			1970s	R&B/Soul/Funk
Get Up (I Feel Like Being a) Sex Machine - Pt 1	James Brown			1970s	R&B/Soul/Funk
Thrash Unreal	Against Me!			2000s	Punk
All the Things That Go to Make Heaven and Earth	The New Pornographers			2000s	Indie Rock
Use It	The New Pornographers			2000s	Indie Rock
Last Resort	Papa Roach			2000s	Alternative
Lifeline	Papa Roach			2000s	Alternative
Once	Pearl Jam			1990s	Grunge
Even Flow	Pearl Jam			1990s	Grunge
Why Go	Pearl Jam			1990s	Grunge
Black	Pearl Jam			1990s	Grunge
Jeremy	Pearl Jam			1990s	Grunge
Oceans	Pearl Jam			1990s	Grunge
Porch	Pearl Jam			1990s	Grunge
Garden	Pearl Jam			1990s	Grunge
Deep	Pearl Jam			1990s	Grunge
Release	Pearl Jam			1990s	Grunge
Master/Slave	Pearl Jam			1990s	Grunge
Don't Stop Believing	Journey			1980s	Classic Rock
Heartbreaker	Pat Benatar			1970s	Classic Rock
Geraldine	Glasvegas			2000s	Alternative
C'mon C'mon	The Von Bondies			2000s	Alternative
I Can't Keep My Eyes Off of You	SpongeBob SquarePants			2000s	Other
The Best Day Ever	SpongeBob SquarePants			2000s	Other
Where's Gary?	SpongeBob SquarePants			2000s	Other
New Slang	The Shins			2000s	Indie Rock
Warriors of Time	Black Tide			2000s	Metal
Waking the Demon	Bullet for My Valentine			2000s	Metal
Beer for My Horses	Toby Keith			2000s	Country
I Love This Bar	Toby Keith			2000s	Country
She's a Hottie	Toby Keith			2000s	Country
Should've Been a Cowboy	Toby Keith			1990s	Country
Who's Your Daddy?	Toby Keith			2000s	Country
How Do You Like Me Now?!	Toby Keith			1990s	Country
Chinese Democracy	Guns N' Roses			2000s	Rock
Better	Guns N' Roses			2000s	Rock
Street of Dreams	Guns N' Roses			2000s	Rock
If the World	Guns N' Roses			2000s	Rock
There Was a Time	Guns N' Roses			2000s	Rock
Catcher in the Rye	Guns N' Roses			2000s	Rock
Scraped	Guns N' Roses			2000s	Rock
Riad N' the Bedouins	Guns N' Roses			2000s	Rock
Sorry	Guns N' Roses			2000s	Rock
I.R.S.	Guns N' Roses			2000s	Rock
Madagascar	Guns N' Roses			2000s	Rock
This I Love	Guns N' Roses			2000s	Rock
Prostitute	Guns N' Roses			2000s	Rock
Riding the Storm Out	REO Speedwagon			1980s	Rock
Roll with the Changes	REO Speedwagon			1980s	Rock
Take It on the Run	REO Speedwagon			1980s	Rock
Blue Collar Man (Long Nights)	Styx			2000s	Classic Rock
Renegade	Styx			2000s	Classic Rock
Too Much Time on My Hands	Styx			2000s	Classic Rock
Can't Stop Rockin'	Styx/REO Speedwagon			2000s	Rock
Alone in My Head	Hautewerk			2000s	Indie Rock
I Know Where You Came From	Hautewerk			2000s	Indie Rock
Stop Start Again	Hautewerk			2000s	Indie Rock
Up the Beach	Jane's Addiction			1980s	Alternative
Ocean Size	Jane's Addiction			1980s	Alternative
Had a Dad	Jane's Addiction			1980s	Alternative
Ted, Just Admit It...	Jane's Addiction			1980s	Alternative
Standing in the Shower... Thinking	Jane's Addiction			1980s	Alternative
Summertime Rolls	Jane's Addiction			1980s	Alternative
Idiots Rule	Jane's Addiction			1980s	Alternative
Jane Says	Jane's Addiction			1980s	Alternative
Thank You Boys	Jane's Addiction			1980s	Alternative
Pig's in Zen	Jane's Addiction			1980s	Alternative
Take Me Out	Franz Ferdinand			2000s	Alternative
Lucid Dreams	Franz Ferdinand			2000s	Alternative
Do You Want To	Franz Ferdinand			2000s	Alternative
Smooth Criminal	Alien Ant Farm			2000s	Rock
Blue Sky	The Allman Brothers Band			1970s	Southern Rock
Midnight Rider	The Allman Brothers Band			1970s	Southern Rock
Drain the Blood	The Distillers			2000s	Punk
Naked Eye	Luscious Jackson			1990s	Alternative
Idealistic Types	Prong			2000s	Metal
The Banishment	Prong			2000s	Metal
Bad Luck	Social Distortion			1990s	Punk
Ring of Fire	Social Distortion			1990s	Punk
Story of My Life	Social Distortion			1990s	Punk
Stricken	Disturbed			2000s	Nu-Metal
Stupify	Disturbed			2000s	Nu-Metal
Black Friday	Steely Dan			1970s	Classic Rock
My Old School	Steely Dan			1970s	Classic Rock
Radio Radio	Elvis Costello			1970s	Rock
School's Out (Live)	Alice Cooper			1990s	Rock
I'm Eighteen (Live)	Alice Cooper			1990s	Rock
Billion Dollar Babies (Live)	Alice Cooper			1990s	Rock
Poison	Alice Cooper			1980s	Rock
Under My Wheels (Live)	Alice Cooper			1990s	Rock
Vengeance is Mine	Alice Cooper			2000s	Rock
Liar (It Takes One to Know One)	Taking Back Sunday			2000s	Emo
MakeDamnSure	Taking Back Sunday			2000s	Emo
What's It Feel Like to Be a Ghost?	Taking Back Sunday			2000s	Emo
Kids Don't Follow	The Replacements			1980s	Punk
Cuz U R Next	Ministry			2000s	Metal
LiesLiesLies	Ministry			2000s	Metal
The Great Satan	Ministry			2000s	Metal
She's Not There	The Zombies			1960s	Pop-Rock
Tell Her No	The Zombies			1960s	Pop-Rock
Linger	The Cranberries			1990s	Alternative
Shimmer & Shine	Ben Harper and Relentless7			2000s	Alternative
A Favor House Atlantic	Coheed and Cambria			2000s	Prog
The Running Free	Coheed and Cambria			2000s	Prog
Wilson (Live)	Phish			1990s	Rock
Steady at the Wheel	Shooter Jennings			2000s	Country
Wolf Like Me	TV on the Radio			2000s	Indie Rock
Aces High (Live)	Iron Maiden			2000s	Metal
2 Minutes to Midnight	Iron Maiden			1980s	Metal
The Trooper	Iron Maiden			1980s	Metal
Wasted Years	Iron Maiden			1980s	Metal
The Number of the Beast (Original Version)	Iron Maiden			1980s	Metal
Run to the Hills (Original Version)	Iron Maiden			1980s	Metal
Can I Play with Madness	Iron Maiden			1980s	Metal
The Clairvoyant	Iron Maiden			1980s	Metal
Powerslave	Iron Maiden			1980s	Metal
Fear of the Dark (Live)	Iron Maiden			2000s	Metal
Hallowed Be Thy Name (Live)	Iron Maiden			2000s	Metal
Iron Maiden (Live)	Iron Maiden			2000s	Metal
Bring Me to Life	Evanescence			2000s	Nu-Metal
Call Me When You're Sober	Evanescence			2000s	Nu-Metal
Weight of the World	Evanescence			2000s	Nu-Metal
Back from the Dead	Spinal Tap			2000s	Rock
Rock 'n' Roll Nightmare	Spinal Tap			2000s	Rock
Saucy Jack	Spinal Tap			2000s	Rock
Warmer Than Hell	Spinal Tap			2000s	Rock
The Downfall of Us All	A Day to Remember			2000s	Punk
21st Century (Digital Boy)	Bad Religion			1990s	Punk
